"id","nom","prenom","email","sexe","date_naissance","date_deces","navs","numero_individu"
1,"Several","Susan","susan.several@hotmail.com","M","1926-09-08",NULL,"756.9378.1872.79","20251024000001"
2,"Sims","Kathleen","kathleen.sims@bluewin.ch","F","1979-03-02",NULL,"756.0920.4700.01","20251024000002"
3,"Townsend","Gregory","gregory.townsend@gmail.com","F","1940-03-21",NULL,"756.3882.5260.47","20251024000003"
4,"Perez","Ricardo","ricardo.perez@hotmail.com","M","1985-06-25",NULL,"756.1637.4072.79","20251024000004"
5,"Zhou","Jackson","jackson.zhou@sunrise.ch","M","2011-06-15",NULL,"756.1681.5650.87","20251024000005"
6,"Hall","Bradley","bradley.hall@swissonline.ch","M","2000-05-11",NULL,"756.3299.1086.05","20251024000006"
7,"Mehta","Heather","heather.mehta@gmail.com","F","1941-10-21",NULL,"756.8636.7857.70","20251024000007"
8,"Seely","Ian","ian.seely@bluewin.ch","M","1957-11-12",NULL,"756.8902.7880.07","20251024000008"
9,"Price","Sharon","sharon.price@swissonline.ch","M","1926-03-15",NULL,"756.7889.7446.66","20251024000009"
10,"Ptaszynski","Michele","michele.ptaszynski@hotmail.com","F","1993-01-04",NULL,"756.8141.3308.01","20251024000010"
11,"Salavaria","Kathleen","kathleen.salavaria@swissonline.ch","F","1922-08-08",NULL,"756.4106.1458.11","20251024000011"
12,"Harui","Shawn","shawn.harui@gmail.com","M","1943-01-07",NULL,"756.3189.9667.57","20251024000012"
13,"Goldberg","Mircea","mircea.goldberg@hotmail.com","F","1948-02-13",NULL,"756.9333.0315.82","20251024000013"
14,"Smith-Bates","Patricia","patricia.smith-bates@gmail.com","M","1944-03-12",NULL,"756.0000.6672.44","20251024000014"
15,"Gonzales","Heather","heather.gonzales@sunrise.ch","M","1932-03-10",NULL,"756.9516.2350.61","20251024000015"
16,"Romero","Edwin","edwin.romero@sunrise.ch","F","1975-05-01",NULL,"756.7394.1610.50","20251024000016"
17,"Gao","Mackenzie","mackenzie.gao@sunrise.ch","M","1933-06-28",NULL,"756.7297.0471.51","20251024000017"
18,"Robinson","Jasmine","jasmine.robinson@swissonline.ch","F","1947-10-14",NULL,"756.3642.6492.73","20251024000018"
19,"Selikoff","Jill","jill.selikoff@bluewin.ch","F","1991-04-21",NULL,"756.9054.0643.58","20251024000019"
20,"Jenkins","Lolan","lolan.jenkins@bluewin.ch","M","1959-07-24",NULL,"756.0848.5172.26","20251024000020"
21,"Nara","Mackenzie","mackenzie.nara@gmail.com","F","1921-06-13",NULL,"756.6086.5926.83","20251024000021"
22,"White","Sylvia","sylvia.white@swissonline.ch","M","1983-08-17",NULL,"756.0561.0373.24","20251024000022"
23,"Tangirala","Muniraju","muniraju.tangirala@bluewin.ch","F","1970-04-10",NULL,"756.0928.3708.85","20251024000023"
24,"Becker","Morgan","morgan.becker@hotmail.com","M","1971-10-20",NULL,"756.1524.4165.33","20251024000024"
25,"Bradley","Brent","brent.bradley@sunrise.ch","M","1944-04-19",NULL,"756.6563.7238.87","20251024000025"
26,"King","Jack","jack.king@sunrise.ch","M","1996-11-01",NULL,"756.4182.1476.71","20251024000026"
27,"Miller","Tasha","tasha.miller@sunrise.ch","M","1925-11-22",NULL,"756.8717.2153.27","20251024000027"
28,"Thirunavukkarasu","Cassandra","cassandra.thirunavukkarasu@gmail.com","M","2011-11-09",NULL,"756.6132.5102.27","20251024000028"
29,"Green","Cristina","cristina.green@bluewin.ch","F","2016-04-22",NULL,"756.7570.5448.09","20251024000029"
30,"Rienstra","Randall","randall.rienstra@sunrise.ch","F","2002-11-06",NULL,"756.2934.9542.65","20251024000030"
31,"Lauer","Dominic","dominic.lauer@gmail.com","F","1923-12-23",NULL,"756.3207.4491.83","20251024000031"
32,"Rivas","Dorothy","dorothy.rivas@sunrise.ch","M","1981-12-15",NULL,"756.6498.8987.99","20251024000032"
33,"Singer","Taylor","taylor.singer@bluewin.ch","F","2015-05-18",NULL,"756.8719.4003.22","20251024000033"
34,"Pritchett","Chloe","chloe.pritchett@swissonline.ch","M","2017-02-26",NULL,"756.5703.9005.19","20251024000034"
35,"Mirchandani","Joseph","joseph.mirchandani@gmail.com","F","2002-03-23",NULL,"756.8247.7303.64","20251024000035"
36,"Lewis","Kaitlin","kaitlin.lewis@swissonline.ch","F","1923-10-23","2022-03-27","756.6137.5445.41","20251024000036"
37,"Skjønaa","Julie","julie.skjønaa@sunrise.ch","M","1953-06-20",NULL,"756.9235.3858.85","20251024000037"
38,"Washington","Kayla","kayla.washington@swissonline.ch","M","1949-05-21",NULL,"756.8393.8665.71","20251024000038"
39,"Uittenbogaard","Matthew","matthew.uittenbogaard@sunrise.ch","M","1931-11-11",NULL,"756.4520.8046.85","20251024000039"
40,"Salavaria","Ioannis","ioannis.salavaria@gmail.com","F","1987-03-20",NULL,"756.9579.4401.60","20251024000040"
41,"Vazquez","William","william.vazquez@gmail.com","F","1921-02-13",NULL,"756.2705.7947.39","20251024000041"
42,"Raje","Geoffrey","geoffrey.raje@sunrise.ch","M","1957-03-21",NULL,"756.5320.8634.02","20251024000042"
43,"Martin","Ashley","ashley.martin@swissonline.ch","F","1940-12-24",NULL,"756.0887.8692.76","20251024000043"
44,"Munoz","Robert","robert.munoz@bluewin.ch","M","1928-06-14",NULL,"756.6019.9253.78","20251024000044"
45,"Schulte","Brianna","brianna.schulte@sunrise.ch","F","1926-05-07",NULL,"756.6361.3588.31","20251024000045"
46,"Snowden","Tiffany","tiffany.snowden@swissonline.ch","M","1953-01-13",NULL,"756.7075.8761.91","20251024000046"
47,"Beck","Chad","chad.beck@bluewin.ch","F","1989-12-12",NULL,"756.1619.7457.45","20251024000047"
48,"Agbonile","Katherine","katherine.agbonile@swissonline.ch","F","1935-10-16",NULL,"756.0623.7901.25","20251024000048"
49,"Long","Yolanda","yolanda.long@sunrise.ch","F","1954-01-21",NULL,"756.4175.2320.34","20251024000049"
50,"Blanco","Mindy","mindy.blanco@sunrise.ch","F","1997-11-14",NULL,"756.4075.7297.73","20251024000050"
51,"Simmons","Riley","riley.simmons@sunrise.ch","F","2000-05-22",NULL,"756.4683.8302.88","20251024000051"
52,"Randall","Dave","dave.randall@swissonline.ch","M","2018-01-31",NULL,"756.1523.4289.90","20251024000052"
53,"Hu","Gloria","gloria.hu@gmail.com","F","1930-06-21",NULL,"756.0052.4039.55","20251024000053"
54,"Zhou","Jennifer","jennifer.zhou@sunrise.ch","M","1972-09-08",NULL,"756.7367.6913.56","20251024000054"
55,"Edwards","Elijah","elijah.edwards@swissonline.ch","F","1969-06-22",NULL,"756.0112.5513.76","20251024000055"
56,"Bhat","Katherine","katherine.bhat@swissonline.ch","F","1945-10-07",NULL,"756.0425.5506.42","20251024000056"
57,"Saravan","Daniel","daniel.saravan@swissonline.ch","F","1958-06-27",NULL,"756.6974.1463.37","20251024000057"
58,"Sims","Cassandra","cassandra.sims@hotmail.com","M","2006-02-01",NULL,"756.8478.8819.37","20251024000058"
59,"Foster","Jonathan","jonathan.foster@gmail.com","M","1931-08-03",NULL,"756.7718.0199.20","20251024000059"
60,"Sanz","Sheena","sheena.sanz@swissonline.ch","M","2000-08-14",NULL,"756.3127.1750.70","20251024000060"
61,"Gomez","Geoffrey","geoffrey.gomez@swissonline.ch","F","1994-04-16",NULL,"756.4228.2208.46","20251024000061"
62,"Sandberg","Micheal","micheal.sandberg@bluewin.ch","F","1929-04-25",NULL,"756.9949.4676.85","20251024000062"
63,"Bebbington","Kellie","kellie.bebbington@swissonline.ch","F","1975-10-09",NULL,"756.0733.3755.87","20251024000063"
64,"Adams","Alicia","alicia.adams@hotmail.com","F","1958-10-17","2023-01-19","756.3682.3808.60","20251024000064"
